isolate_name,subtype
ivsel:Keulen97|exp:1|dose:1uM,NULL
ivsel:Keulen97|exp:1|dose:10uM,NULL
ivsel:Vaillancourt99|exp:1|p4,NULL
ivsel:Vaillancourt99|exp:1|p10,NULL
ivsel:Vaillancourt99|exp:1|p15,NULL
ivsel:Vaillancourt99|exp:1|p17,NULL
ivsel:Vaillancourt99|exp:1|p27,NULL
ivsel:Vaillancourt99|exp:2|p5,NULL
ivsel:Vaillancourt99|exp:2|p7,NULL
ivsel:Vaillancourt99|exp:2|p10,NULL
ivsel:Vaillancourt99|exp:2|p15,NULL
ivsel:Vaillancourt99|exp:3|p5,NULL
ivsel:Vaillancourt99|exp:3|p7,NULL
ivsel:Vaillancourt99|exp:3|p10,NULL
ivsel:Vaillancourt99|exp:4|p4,NULL
ivsel:Vaillancourt99|exp:4|p10,NULL
ivsel:Vaillancourt99|exp:4|p15,NULL
ivsel:Fikkert03|exp:1|p25,NULL
ivsel:Fikkert03|exp:1|p35,NULL
ivsel:Fikkert03|exp:1|p40,NULL
ivsel:Fikkert03|exp:1|p60,NULL
ivsel:Fikkert03|exp:1|p70,NULL
ivsel:Oliveira17|Strain 5326|Islatravir|exp:1|17w,NULL
ivsel:Oliveira17|Strain 5326|Islatravir|exp:1|27w,NULL
ivsel:Oliveira17|Strain 14637|Islatravir|exp:1|17w,NULL
ivsel:Oliveira17|Strain 14637|Islatravir|exp:1|27w,NULL
ivsel:Oliveira17|Strain 4742|Islatravir|exp:1|14w,NULL
ivsel:Oliveira17|Strain 4742|Islatravir|exp:1|24w,NULL
ivsel:Oliveira17|Strain 6343|Islatravir|exp:1|14w,NULL
ivsel:Oliveira17|Strain 6343|Islatravir|exp:1|24w,NULL
ivsel:Oliveira17|96USSN20|Islatravir|exp:1|14w,NULL
ivsel:Oliveira17|96USSN20|Islatravir|exp:1|24w,NULL
ivsel:Oliveira17|Strain 5326|3TC|exp:1|17w,NULL
ivsel:Oliveira17|Strain 5326|3TC|exp:1|27w,NULL
ivsel:Oliveira17|Strain 14637|3TC|exp:1|17w,NULL
ivsel:Oliveira17|Strain 14637|3TC|exp:1|27w,NULL
ivsel:Oliveira17|Strain 4742|3TC|exp:1|14w,NULL
ivsel:Oliveira17|Strain 4742|3TC|exp:1|24w,NULL
ivsel:Oliveira17|Strain 6343|3TC|exp:1|14w,NULL
ivsel:Oliveira17|Strain 6343|3TC|exp:1|24w,NULL
ivsel:Oliveira17|96USSN20|3TC|exp:1|14w,NULL
ivsel:Oliveira17|96USSN20|3TC|exp:1|24w,NULL
ivsel:Oliveira17|Strain 14624|RPV|exp:1|23w,NULL
ivsel:Oliveira17|Strain 14624|RPV|exp:1|37w,NULL
ivsel:Oliveira17|Strain 14514|RPV|exp:1|37w,NULL
Strain 12217,B
ivsel:Oliveira17|Strain 12217|RPV|exp:1|23w,NULL
ivsel:Boucher93|RF|exp:A,NULL
ivsel:Boucher93|HXB2|exp:B,NULL
C19,NULL
ivsel:Boucher93|C19|exp:B,NULL
ivsel:Brehm07|BRU|exp:1|p25,NULL
ivsel:Brehm07|BRU|exp:1|p30,NULL
ivsel:Brehm07|BRU|exp:1|p35,NULL
ivsel:Brehm07|BRU|exp:1|p40,NULL
ivsel:Brehm07|BRU|exp:1|p55,NULL
ivsel:Brehm07|BRU|exp:1|p60,NULL
ivsel:Brehm07|BRU|exp:1|p65,NULL
LAI (M41L/L210W/T215Y),B
ivsel:Brehm07|LAI (M41L/L210W/T215Y)|exp:1|p25,NULL
ivsel:Brehm07|LAI (M41L/L210W/T215Y)|exp:1|p30,NULL
ivsel:Brehm07|LAI (M41L/L210W/T215Y)|exp:1|p35,NULL
ivsel:Watkins03|SQV|exp:1|p4,NULL
ivsel:Watkins03|SQV|exp:1|p10,NULL
ivsel:Watkins03|SQV|exp:1|p15,NULL
ivsel:Watkins03|SQV|exp:1|p17,NULL
ivsel:Watkins03|SQV|exp:1|p18,NULL
ivsel:Watkins03|SQV|exp:1|p27,NULL
ivsel:Watkins03|SQV|exp:1|p37,NULL
ivsel:Watkins03|SQV|exp:1|p47,NULL
ivsel:Watkins03|RTV|exp:1|p10,NULL
ivsel:Watkins03|RTV|exp:1|p12,NULL
ivsel:Watkins03|RTV|exp:1|p14,NULL
ivsel:Watkins03|RTV|exp:1|p15,NULL
ivsel:Watkins03|RTV|exp:1|p24,NULL
ivsel:Watkins03|RTV|exp:1|p34,NULL
ivsel:Watkins03|RTV|exp:1|p44,NULL
ivsel:Watkins03|IDV|exp:1|p10,NULL
ivsel:Watkins03|IDV|exp:1|p13,NULL
ivsel:Watkins03|IDV|exp:1|p16,NULL
ivsel:Watkins03|IDV|exp:1|p17,NULL
ivsel:Watkins03|IDV|exp:1|p25,NULL
ivsel:Watkins03|IDV|exp:1|p35,NULL
ivsel:Watkins03|IDV|exp:1|p45,NULL
ivsel:Watkins03|SQV+RTV|exp:1|p4,NULL
ivsel:Watkins03|SQV+RTV|exp:1|p10,NULL
ivsel:Watkins03|SQV+RTV|exp:1|p15,NULL
ivsel:Watkins03|SQV+RTV|exp:1|p16,NULL
ivsel:Watkins03|SQV+RTV|exp:1|p17,NULL
ivsel:Watkins03|SQV+RTV|exp:1|p27,NULL
ivsel:Watkins03|RTV+IDV|exp:1|p10,NULL
ivsel:Watkins03|RTV+IDV|exp:1|p14,NULL
ivsel:Watkins03|RTV+IDV|exp:1|p16,NULL
ivsel:Watkins03|RTV+IDV|exp:1|p17,NULL
ivsel:Watkins03|RTV+IDV|exp:1|p27,NULL
ivsel:Watkins03|IDV+SQV|exp:1|p11,NULL
ivsel:Watkins03|IDV+SQV|exp:1|p15,NULL
ivsel:Watkins03|IDV+SQV|exp:1|p18,NULL
ivsel:Watkins03|IDV+SQV|exp:1|p19,NULL
ivsel:Watkins03|IDV+SQV|exp:1|p29,NULL
ivsel:Doyon05|exp:1|p16,NULL
ivsel:Doyon05|exp:1|p33,NULL
ivsel:Doyon05|exp:1|p39,NULL
ivsel:Doyon05|exp:1|p49,NULL
ivsel:Doyon05|exp:1|p68,NULL
ivsel:Doyon05|exp:1|p73,NULL
ivsel:Cox17|BRU|exp:1|dose:120nM,NULL
ivsel:Cox17|BRU|exp:1|dose:28uM,NULL
ivsel:Cox17|BRU|exp:1|dose:640nM,NULL
LAI (K65R),B
ivsel:Cox17|LAI (K65R)|exp:1|dose:180nM,NULL
ivsel:Cox17|LAI (K65R)|exp:1|dose:42uM,NULL
ivsel:Cox17|LAI (K65R)|exp:1|dose:640nM,NULL
CI-3TAM,NULL
ivsel:Cox17|CI-3TAM|exp:1|dose:180nM,NULL
ivsel:Cox17|CI-3TAM|exp:1|dose:270nM,NULL
ivsel:Cox17|CI-3TAM|exp:1|dose:42uM,NULL
ivsel:Cox17|CI-3TAM|exp:1|dose:64nM,NULL
LAI (Q151M),B
ivsel:Cox17|LAI (Q151M)|exp:1|dose:585nM,NULL
ivsel:Cox17|LAI (Q151M)|exp:1|dose:137uM,NULL
ivsel:Cox17|LAI (Q151M)|exp:1|dose:640nM,NULL
ivsel:Yoshinaga15|CAB|exp:2|p~4,NULL
ivsel:Yoshinaga15|CAB|exp:2|p~8,NULL
ivsel:Yoshinaga15|CAB|exp:2|p~16,NULL
ivsel:Yoshinaga15|CAB|exp:2|p~20,NULL
ivsel:Yoshinaga15|CAB|exp:2|p~24,NULL
ivsel:Yoshinaga15|CAB|exp:2|p~28,NULL
ivsel:Yoshinaga15|CAB|exp:2|p~32,NULL
ivsel:Yoshinaga15|CAB|exp:3a|p~8,NULL
ivsel:Yoshinaga15|CAB|exp:3a|p~12,NULL
ivsel:Yoshinaga15|CAB|exp:3a|p~16,NULL
ivsel:Yoshinaga15|CAB|exp:3a|p~20,NULL
ivsel:Yoshinaga15|CAB|exp:3a|p~24,NULL
ivsel:Yoshinaga15|CAB|exp:3a|p~28,NULL
ivsel:Yoshinaga15|CAB|exp:3a|p~32,NULL
ivsel:Yoshinaga15|CAB|exp:3b|p~4,NULL
ivsel:Yoshinaga15|CAB|exp:3b|p~8,NULL
ivsel:Yoshinaga15|CAB|exp:3b|p~12,NULL
ivsel:Yoshinaga15|CAB|exp:3b|p~16,NULL
ivsel:Yoshinaga15|CAB|exp:3b|p~20,NULL
ivsel:Yoshinaga15|CAB|exp:3b|p~24,NULL
ivsel:Yoshinaga15|CAB|exp:3b|p~28,NULL
ivsel:Yoshinaga15|CAB|exp:3b|p~32,NULL
ivsel:Yoshinaga15|CAB|exp:4a|p~8,NULL
ivsel:Yoshinaga15|CAB|exp:4a|p~12,NULL
ivsel:Yoshinaga15|CAB|exp:4a|p~16,NULL
ivsel:Yoshinaga15|CAB|exp:4a|p~20,NULL
ivsel:Yoshinaga15|CAB|exp:4a|p~24,NULL
ivsel:Yoshinaga15|CAB|exp:4a|p~28,NULL
ivsel:Yoshinaga15|CAB|exp:4a|p~32,NULL
ivsel:Yoshinaga15|CAB|exp:4b|p~4,NULL
ivsel:Yoshinaga15|CAB|exp:4b|p~8,NULL
ivsel:Yoshinaga15|CAB|exp:4b|p~12,NULL
ivsel:Yoshinaga15|CAB|exp:4b|p~16,NULL
ivsel:Yoshinaga15|CAB|exp:4b|p~20,NULL
ivsel:Yoshinaga15|CAB|exp:4b|p~24,NULL
ivsel:Yoshinaga15|CAB|exp:4b|p~28,NULL
ivsel:Yoshinaga15|CAB|exp:4b|p~32,NULL
ivsel:Yoshinaga15|CAB|exp:4c|p~4,NULL
ivsel:Yoshinaga15|CAB|exp:4c|p~8,NULL
ivsel:Yoshinaga15|CAB|exp:4c|p~12,NULL
ivsel:Yoshinaga15|RAL|exp:1a|p~20,NULL
ivsel:Yoshinaga15|RAL|exp:1a|p~24,NULL
ivsel:Yoshinaga15|RAL|exp:1b|p~16,NULL
ivsel:Yoshinaga15|RAL|exp:1b|p~20,NULL
ivsel:Yoshinaga15|RAL|exp:1b|p~24,NULL
ivsel:Yoshinaga15|RAL|exp:1c|p~8,NULL
ivsel:Yoshinaga15|RAL|exp:1c|p~12,NULL
ivsel:Yoshinaga15|RAL|exp:1c|p~16,NULL
ivsel:Yoshinaga15|RAL|exp:1c|p~20,NULL
ivsel:Yoshinaga15|RAL|exp:1c|p~24,NULL
ivsel:Yoshinaga15|RAL|exp:1d|p~4,NULL
ivsel:Yoshinaga15|RAL|exp:1d|p~8,NULL
ivsel:Yoshinaga15|RAL|exp:1d|p~12,NULL
ivsel:Yoshinaga15|RAL|exp:1d|p~16,NULL
ivsel:Yoshinaga15|RAL|exp:1d|p~20,NULL
ivsel:Yoshinaga15|RAL|exp:1d|p~24,NULL
ivsel:Yoshinaga15|RAL|exp:2a|p~20,NULL
ivsel:Yoshinaga15|RAL|exp:2a|p~24,NULL
ivsel:Yoshinaga15|RAL|exp:2b|p~20,NULL
ivsel:Yoshinaga15|RAL|exp:2b|p~24,NULL
ivsel:Yoshinaga15|RAL|exp:2c|p~8,NULL
ivsel:Yoshinaga15|RAL|exp:2c|p~12,NULL
ivsel:Yoshinaga15|RAL|exp:2c|p~16,NULL
ivsel:Yoshinaga15|RAL|exp:2c|p~20,NULL
ivsel:Yoshinaga15|RAL|exp:2c|p~24,NULL
ivsel:Yoshinaga15|RAL|exp:2d|p~4,NULL
ivsel:Yoshinaga15|RAL|exp:2d|p~8,NULL
ivsel:Yoshinaga15|RAL|exp:2d|p~12,NULL
ivsel:Yoshinaga15|RAL|exp:2d|p~16,NULL
ivsel:Yoshinaga15|RAL|exp:2d|p~20,NULL
ivsel:Yoshinaga15|RAL|exp:2d|p~24,NULL
ivsel:Yoshinaga15|RAL|exp:2e|p~4,NULL
ivsel:Yoshinaga15|RAL|exp:2e|p~8,NULL
ivsel:Yoshinaga15|RAL|exp:2e|p~12,NULL
ivsel:Yoshinaga15|RAL|exp:2e|p~16,NULL
ivsel:Yoshinaga15|RAL|exp:2e|p~20,NULL
ivsel:Yoshinaga15|RAL|exp:3a|p~24,NULL
ivsel:Yoshinaga15|RAL|exp:3b|p~12,NULL
ivsel:Yoshinaga15|RAL|exp:3b|p~16,NULL
ivsel:Yoshinaga15|RAL|exp:3b|p~20,NULL
ivsel:Yoshinaga15|RAL|exp:3b|p~24,NULL
ivsel:Yoshinaga15|RAL|exp:3c|p~8,NULL
ivsel:Yoshinaga15|RAL|exp:3c|p~12,NULL
ivsel:Yoshinaga15|RAL|exp:3c|p~16,NULL
ivsel:Yoshinaga15|RAL|exp:3c|p~20,NULL
ivsel:Yoshinaga15|RAL|exp:3c|p~24,NULL
ivsel:Yoshinaga15|RAL|exp:3d|p~4,NULL
ivsel:Yoshinaga15|RAL|exp:3d|p~8,NULL
ivsel:Yoshinaga15|RAL|exp:3d|p~12,NULL
ivsel:Yoshinaga15|RAL|exp:3d|p~16,NULL
ivsel:Yoshinaga15|RAL|exp:3d|p~20,NULL
ivsel:Yoshinaga15|RAL|exp:3e|p~4,NULL
ivsel:Yoshinaga15|RAL|exp:3e|p~8,NULL
ivsel:Yoshinaga15|RAL|exp:3e|p~12,NULL
ivsel:Yoshinaga15|RAL|exp:4a|p~20,NULL
ivsel:Yoshinaga15|RAL|exp:4a|p~24,NULL
ivsel:Yoshinaga15|RAL|exp:4b1|p~20,NULL
ivsel:Yoshinaga15|RAL|exp:4b1|p~24,NULL
ivsel:Yoshinaga15|RAL|exp:4b2|p~20,NULL
ivsel:Yoshinaga15|RAL|exp:4b2|p~24,NULL
ivsel:Yoshinaga15|RAL|exp:4c1|p~16,NULL
ivsel:Yoshinaga15|RAL|exp:4c1|p~20,NULL
ivsel:Yoshinaga15|RAL|exp:4c1|p~24,NULL
ivsel:Yoshinaga15|RAL|exp:4c2|p~16,NULL
ivsel:Yoshinaga15|RAL|exp:4c2|p~20,NULL
ivsel:Yoshinaga15|RAL|exp:4c2|p~24,NULL
ivsel:Yoshinaga15|RAL|exp:4d|p~8,NULL
ivsel:Yoshinaga15|RAL|exp:4d|p~12,NULL
ivsel:Yoshinaga15|RAL|exp:4d|p~16,NULL
ivsel:Yoshinaga15|RAL|exp:4d|p~20,NULL
ivsel:Yoshinaga15|RAL|exp:4d|p~24,NULL
ivsel:Yoshinaga15|RAL|exp:4e|p~8,NULL
ivsel:Yoshinaga15|RAL|exp:4e|p~12,NULL
ivsel:Yoshinaga15|RAL|exp:4e|p~16,NULL
ivsel:Yoshinaga15|RAL|exp:4e|p~20,NULL
ivsel:Yoshinaga15|RAL|exp:4f|p~4,NULL
ivsel:Yoshinaga15|RAL|exp:4f|p~8,NULL
ivsel:Yoshinaga15|RAL|exp:4f|p~12,NULL
ivsel:Yoshinaga15|RAL|exp:4g|p~4,NULL
ivsel:Yoshinaga15|RAL|exp:4g|p~8,NULL
ivsel:Tsiang16|BIC|exp:1|p3,NULL
ivsel:Tsiang16|BIC|exp:1|p5,NULL
ivsel:Tsiang16|BIC|exp:1|p6,NULL
ivsel:Tsiang16|BIC|exp:1|p8,NULL
ivsel:Tsiang16|BIC|exp:1|p9,NULL
ivsel:Tsiang16|BIC|exp:1|p10,NULL
ivsel:Tsiang16|DTG|exp:1|p4,NULL
ivsel:Tsiang16|DTG|exp:1|p5,NULL
ivsel:Tsiang16|DTG|exp:1|p7,NULL
ivsel:Tsiang16|DTG|exp:1|p9,NULL
ivsel:Tsiang16|DTG|exp:1|p10,NULL
ivsel:Tsiang16|EVG|exp:1|p2,NULL
ivsel:Tsiang16|EVG|exp:1|p4,NULL
ivsel:Tsiang16|EVG|exp:1|p6,NULL
ivsel:Tsiang16|EVG|exp:1|p7,NULL
ivsel:Tsiang16|EVG|exp:1|p9,NULL
ivsel:Tsiang16|EVG|exp:1|p10,NULL
ivsel:Richman91|BRU|exp:1|p1|dose:10uM,NULL
ivsel:Richman91|BRU|exp:1|p3|dose:10uM,NULL
ivsel:Richman91|BRU|exp:1|p5|dose:10uM,NULL
ivsel:Richman91|BRU|exp:1|p1|dose:1uM,NULL
ivsel:Richman91|BRU|exp:1|p17|dose:1uM,NULL
ivsel:Richman91|A018A|exp:1|p1|dose:10uM,NULL
ivsel:Richman91|A018A|exp:1|p5|dose:10uM,NULL
ivsel:Richman91|A018A|exp:1|p1|dose:1uM,NULL
ivsel:Richman91|A018A|exp:1|p5|dose:1uM,NULL
ivsel:Feng15|R8|DOR|exp:1|1seq,NULL
ivsel:Feng15|R8|DOR|exp:1|2seq,NULL
ivsel:Feng15|R8|DOR|exp:2|1seq,NULL
ivsel:Feng15|R8|DOR|exp:2|2seq,NULL
ivsel:Feng15|R8|DOR|exp:2|3seq,NULL
ivsel:Feng15|R8|EFV|exp:1|1seq,NULL
ivsel:Feng15|R8|EFV|exp:1|2seq,NULL
ivsel:Feng15|R8|EFV|exp:2|1seq,NULL
ivsel:Feng15|R8|EFV|exp:2|2seq,NULL
ivsel:Feng15|R8|EFV|exp:2|3seq,NULL
ivsel:Feng15|R8|EFV|exp:3|1seq,NULL
ivsel:Feng15|R8|EFV|exp:3|2seq,NULL
ivsel:Feng15|R8|RPV|exp:1|1seq,NULL
ivsel:Feng15|R8|RPV|exp:1|2seq,NULL
ivsel:Feng15|R8|RPV|exp:1|3seq,NULL
ivsel:Feng15|R8|RPV|exp:2|1seq,NULL
ivsel:Feng15|R8|RPV|exp:2|2seq,NULL
ivsel:Feng15|R8|RPV|exp:3|1seq,NULL
ivsel:Feng15|R8|RPV|exp:3|2seq,NULL
ivsel:Feng15|92RW026|DOR|exp:1|1seq,NULL
ivsel:Feng15|92RW026|DOR|exp:1|2seq,NULL
ivsel:Feng15|92RW026|DOR|exp:2|1seq,NULL
ivsel:Feng15|92RW026|DOR|exp:2|2seq,NULL
ivsel:Feng15|92RW026|DOR|exp:2|3seq,NULL
ivsel:Feng15|92RW026|EFV|exp:1|1seq,NULL
ivsel:Feng15|92RW026|EFV|exp:1|2seq,NULL
ivsel:Feng15|92RW026|EFV|exp:2|1seq,NULL
ivsel:Feng15|92RW026|EFV|exp:2|2seq,NULL
ivsel:Feng15|92RW026|RPV|exp:1|1seq,NULL
ivsel:Feng15|92RW026|RPV|exp:1|2seq,NULL
ivsel:Feng15|92RW026|RPV|exp:1|3seq,NULL
ivsel:Feng15|92RW026|RPV|exp:2|1seq,NULL
ivsel:Feng15|92RW026|RPV|exp:2|2seq,NULL
ivsel:Feng15|93MW959|DOR|exp:1|1seq,NULL
ivsel:Feng15|93MW959|DOR|exp:1|2seq,NULL
ivsel:Feng15|93MW959|DOR|exp:2|1seq,NULL
ivsel:Feng15|93MW959|DOR|exp:2|2seq,NULL
ivsel:Feng15|93MW959|EFV|exp:1|1seq,NULL
ivsel:Feng15|93MW959|EFV|exp:1|2seq,NULL
ivsel:Feng15|93MW959|EFV|exp:1|3seq,NULL
ivsel:Feng15|93MW959|EFV|exp:2|1seq,NULL
ivsel:Feng15|93MW959|EFV|exp:2|2seq,NULL
ivsel:Feng15|93MW959|RPV|exp:1|1seq,NULL
ivsel:Feng15|93MW959|RPV|exp:1|2seq,NULL
ivsel:Feng15|93MW959|RPV|exp:2|1seq,NULL
ivsel:Feng15|93MW959|RPV|exp:2|2seq,NULL
ivsel:Feng15|93MW959|RPV|exp:3|1seq,NULL
ivsel:Feng15|93MW959|RPV|exp:3|2seq,NULL
ivsel:Gong00|exp:1|1mo,NULL
ivsel:Gong00|exp:1|2.4mo,NULL
ivsel:Gong00|exp:1|3.5mo,NULL
ivsel:Gong00|exp:1|4.8mo,NULL
ivsel:Gong00|exp:1|2.6mo,NULL
ivsel:Gong00|exp:1|4.7mo,NULL
ivsel:Gong00|exp:1|3.9mo,NULL
ivsel:Gong00|exp:1|4.6mo,NULL
ivsel:Margot12|EVG|exp:1|p8,NULL
ivsel:Margot12|EVG|exp:1|p11,NULL
ivsel:Margot12|EVG|exp:1|p12,NULL
ivsel:Margot12|EVG|exp:2|p3,NULL
ivsel:Margot12|EVG|exp:2|p4,NULL
ivsel:Margot12|EVG|exp:2|p6,NULL
ivsel:Margot12|EVG|exp:2|p7,NULL
ivsel:Margot12|EVG|exp:2|p9,NULL
ivsel:Margot12|EVG|exp:2|p11,NULL
ivsel:Margot12|EVG|exp:2|p12,NULL
ivsel:Margot12|RAL|exp:1|p11,NULL
NL4-3 (Q148K),B
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1a|p~8,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1a|p~12,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1a|p~16,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1b|p~4,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1b|p~8,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1b|p~12,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1b|p~16,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2a|p~8,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2a|p~12,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2a|p~16,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2b|p~4,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2b|p~8,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2b|p~12,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2b|p~16,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2c|p~4,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2c|p~8,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2c|p~12,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2c|p~16,NULL
NL4-3 (Q148R),B
ivsel:Yoshinaga18|NL4-3 (Q148R)|exp:1a|p~16,NULL
